epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,6934.97,0.71513,0.92555,1.28345,0.46676,0.27033,0.24416,0.19027,1.10352,1.49919,1.76699,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7029.18,0.69751,0.90299,1.25849,0.46471,0.30661,0.27358,0.20124,1.08897,1.47666,1.76556,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7125.44,0.69607,0.89463,1.26172,0.38273,0.27827,0.246,0.19351,1.13064,1.48254,1.77185,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7219.88,0.69064,0.87576,1.25206,0.60229,0.26798,0.25931,0.20098,1.11394,1.5252,1.7735,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7314.22,0.6761,0.85537,1.23935,0.61732,0.26668,0.26243,0.20847,1.1198,1.48702,1.80265,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7411.34,0.67203,0.85138,1.23817,0.44874,0.27886,0.25583,0.20314,1.12407,1.51208,1.80722,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7506.48,0.66686,0.84512,1.23562,0.4259,0.27511,0.25361,0.20308,1.11314,1.49582,1.79471,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,7601.19,0.67159,0.8345,1.23238,0.51042,0.26479,0.25453,0.20248,1.12553,1.52158,1.77682,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,7695.87,0.65024,0.79222,1.22337,0.53026,0.2726,0.27017,0.21123,1.10275,1.50312,1.77328,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7794.17,0.64736,0.80069,1.21458,0.46126,0.31203,0.2856,0.21017,1.08661,1.48792,1.77835,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7889.16,0.64674,0.79351,1.21535,0.49957,0.30673,0.27274,0.20852,1.08254,1.50017,1.78036,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
