epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,3216.31,0.98804,1.68408,1.44502,0.53442,0.2095,0.19586,0.14661,1.31163,1.97712,1.73824,2.47452e-05,2.47452e-05,2.47452e-05
54,3276.86,0.97723,1.66909,1.43134,0.59045,0.20786,0.18784,0.13796,1.32406,2.02908,1.74157,2.42403e-05,2.42403e-05,2.42403e-05
55,3337.29,0.97987,1.6531,1.42952,0.63071,0.19817,0.19283,0.14369,1.30863,1.98164,1.73583,2.37354e-05,2.37354e-05,2.37354e-05
56,3397.24,0.97653,1.64131,1.42655,0.53546,0.21773,0.19347,0.14342,1.31509,1.98531,1.73828,2.32305e-05,2.32305e-05,2.32305e-05
57,3457.46,0.97015,1.63621,1.42457,0.53009,0.20247,0.19043,0.14082,1.30914,1.98555,1.72814,2.27256e-05,2.27256e-05,2.27256e-05
58,3517.36,0.9651,1.63506,1.42224,0.60259,0.20575,0.19041,0.14309,1.28992,1.96873,1.72455,2.22207e-05,2.22207e-05,2.22207e-05
59,3577.73,0.96194,1.63358,1.41339,0.6191,0.21008,0.19454,0.14259,1.30568,1.94975,1.73813,2.17158e-05,2.17158e-05,2.17158e-05
60,3637.99,0.97233,1.63271,1.42965,0.56443,0.21037,0.18686,0.13703,1.32174,1.99872,1.74332,2.12109e-05,2.12109e-05,2.12109e-05
61,3697.88,0.96564,1.62591,1.41437,0.60915,0.2062,0.18912,0.14269,1.31245,1.9653,1.72631,2.0706e-05,2.0706e-05,2.0706e-05
62,3757.99,0.97209,1.61096,1.41803,0.60124,0.209,0.19201,0.14492,1.30805,1.96464,1.72736,2.02011e-05,2.02011e-05,2.02011e-05
63,3817.92,0.97304,1.61483,1.4217,0.55456,0.21696,0.19242,0.14468,1.29908,1.93336,1.72666,1.96962e-05,1.96962e-05,1.96962e-05
64,3878.22,0.95767,1.60734,1.41568,0.62429,0.21475,0.1941,0.14402,1.29829,1.94785,1.73215,1.91913e-05,1.91913e-05,1.91913e-05
65,3938.29,0.9429,1.5723,1.39962,0.60146,0.21392,0.19851,0.14823,1.29905,1.93016,1.72658,1.86864e-05,1.86864e-05,1.86864e-05
66,3998.61,0.94382,1.57976,1.40012,0.56822,0.21653,0.19221,0.14395,1.3044,1.93309,1.7204,1.81815e-05,1.81815e-05,1.81815e-05
67,4058.67,0.94432,1.56471,1.40189,0.6047,0.21692,0.19097,0.14424,1.31275,1.94438,1.72551,1.76766e-05,1.76766e-05,1.76766e-05
68,4118.92,0.95698,1.59775,1.41086,0.58917,0.22214,0.18952,0.14111,1.33111,1.95224,1.74014,1.71717e-05,1.71717e-05,1.71717e-05
69,4179.23,0.95339,1.56143,1.40957,0.49544,0.22057,0.19195,0.14202,1.32166,1.9564,1.73304,1.66668e-05,1.66668e-05,1.66668e-05
70,4239.26,0.92312,1.53787,1.39523,0.59695,0.20873,0.19077,0.14212,1.31207,1.9339,1.72966,1.61619e-05,1.61619e-05,1.61619e-05
71,4299.27,0.94108,1.54729,1.39632,0.64071,0.20707,0.19401,0.14467,1.30522,1.93442,1.72414,1.5657e-05,1.5657e-05,1.5657e-05
72,4359.55,0.93767,1.54362,1.39415,0.59972,0.21551,0.19632,0.1465,1.30021,1.9258,1.72047,1.51521e-05,1.51521e-05,1.51521e-05
